Date & Time, Temprature *C, Humidity %
[2021-12-23 02:05:28.554] ,26.4,48
[2021-12-23 02:05:30.582] ,26.3,48
[2021-12-23 02:05:32.607] ,26.3,48
[2021-12-23 02:05:34.632] ,26.3,48
[2021-12-23 02:05:36.665] ,26.3,48
[2021-12-23 02:05:38.694] ,26.3,48
[2021-12-23 02:05:40.717] ,26.3,48
[2021-12-23 02:05:42.748] ,26.4,48
[2021-12-23 02:05:44.772] ,26.3,48
[2021-12-23 02:05:46.804] ,26.3,48
[2021-12-23 02:05:48.827] ,26.3,48
[2021-12-23 02:05:50.857] ,26.3,48
[2021-12-23 02:05:52.881] ,26.3,48
[2021-12-23 02:05:54.914] ,26.3,48
[2021-12-23 02:05:56.944] ,26.3,48
[2021-12-23 02:05:58.968] ,26.3,48
[2021-12-23 02:06:00.999] ,26.3,48
[2021-12-23 02:06:03.025] ,26.3,48
[2021-12-23 02:06:05.055] ,26.3,48
[2021-12-23 02:06:07.077] ,26.3,48
[2021-12-23 02:06:09.105] ,26.3,48
[2021-12-23 02:06:11.139] ,26.3,48
[2021-12-23 02:06:13.160] ,26.3,48
[2021-12-23 02:06:15.193] ,26.3,48
[2021-12-23 02:06:17.218] ,26.3,48
[2021-12-23 02:06:19.248] ,26.3,48
[2021-12-23 02:06:21.272] ,26.3,48
[2021-12-23 02:06:23.305] ,26.3,48
[2021-12-23 02:06:25.327] ,26.3,48
[2021-12-23 02:06:27.359] ,26.3,48
[2021-12-23 02:06:29.382] ,26.4,48
[2021-12-23 02:06:31.414] ,26.3,48
[2021-12-23 02:06:33.436] ,26.3,48
[2021-12-23 02:06:35.468] ,26.3,48
[2021-12-23 02:06:37.492] ,26.3,48
[2021-12-23 02:06:39.525] ,26.4,48
[2021-12-23 02:06:41.558] ,26.3,48
[2021-12-23 02:06:43.580] ,26.3,48
[2021-12-23 02:06:45.613] ,26.3,48
[2021-12-23 02:06:47.635] ,26.3,48
[2021-12-23 02:06:49.667] ,26.3,48
[2021-12-23 02:06:51.691] ,26.3,48
[2021-12-23 02:06:53.722] ,26.3,47
[2021-12-23 02:06:55.744] ,26.3,47
[2021-12-23 02:06:57.778] ,26.3,47
